,kind,node,strength
0,Measure,Regression‐based Measures,706.0
1,RqType,Intergenerational Wealth Mobility and Inheritance,470.0
2,RqType,Empirical Estimates and Determinants,418.0
3,DataType,Panel/Longitudinal Surveys,332.0
4,DataType,No dataset,240.0
5,DataType,Linked Administrative Data,176.0
6,DataType,Administrative/Registry Data,170.0
7,DataType,National Survey Data,156.0
8,Measure,Decomposition / Structural Approaches,150.0
9,RqType,Measurement and Methodological Advances,110.0
10,Measure,Rank‐based Measures,98.0
11,RqType,"Policy, Institutional, and Geographic Impacts",88.0
12,Measure,Transition Matrix / Probability Measures,84.0
13,Measure,Absolute Mobility Measures,80.0
14,Measure,Others_Measure,78.0
15,RqType,Theoretical and Structural Models,74.0
16,DataType,Archival/Historical Data,44.0
17,DataType,Others_DataType,40.0
18,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",36.0
19,DataType,International Panel Data,28.0
20,Measure,Non‐parametric Approaches,20.0
21,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",20.0
22,Measure,Multigenerational Measures,18.0
23,DataType,Natural/Experimental Data,18.0
24,RqType,Perceptions of Mobility and Attitudes,16.0
25,DataType,Opportunity Atlas,14.0
26,DataType,Big Data,6.0
27,DataType,University/Institution Data,6.0
28,DataType,Pseudo-Panel/Household Budget Survey,4.0
29,RqType,Others_RqType,2.0
