period,dt.name,m.name,rq.name,names,n_papers
-2000,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",4
-2000,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
-2000,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
-2000,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",2
-2000,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",2
-2000,Archival/Historical Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,Others_DataType,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
-2000,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
-2000,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,Administrative/Registry Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
-2000,No dataset,Others_Measure,Theoretical and Structural Models,"[No dataset, Others_Measure, Theoretical and Structural Models]",1
-2000,No dataset,Others_Measure,Measurement and Methodological Advances,"[No dataset, Others_Measure, Measurement and Methodological Advances]",1
-2000,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[No dataset, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
-2000,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",2
2001-2005,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Regression‐based Measures, Empirical Estimates and Determinants]",2
2001-2005,Archival/Historical Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,National Survey Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2001-2005,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",1
2001-2005,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2001-2005,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",1
2001-2005,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2001-2005,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2001-2005,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[No dataset, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Regression‐based Measures, Measurement and Methodological Advances]",1
2001-2005,No dataset,Others_Measure,Measurement and Methodological Advances,"[No dataset, Others_Measure, Measurement and Methodological Advances]",1
