triplet_key,measure,datatype,rqtype,ew,years,paper_ids
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2017],[https://openalex.org/W2564827629]
Regression‐based Measures | No dataset | Empirical Estimates and Determinants,Regression‐based Measures,No dataset,Empirical Estimates and Determinants,"[3.0, 39.37719759624955, 4.071245048388683, 3.292289530617119, 9.584579061234237, 53.58771157090725, 29.793855785453626, 28.93705793679014, 155.7307074483526, 32.505451649231546, 52.26905156664299, 33.02068677592901, 78.86161716076398, 22.715404290190996, 71.86022919524773, 30.22993496611779, 22.944319164971272, 25.944319164971272]","[1998, 1980, 2006, 2025, 2020, 2008, 2013, 2014, 2002, 2011, 2015, 2009, 2019, 2018, 2021, 2022]","[https://openalex.org/W2117407660, https://openalex.org/W1515121029, https://openalex.org/W2049884882, https://openalex.org/W4407738440, https://openalex.org/W4234924712, https://openalex.org/W2159878756, https://openalex.org/W3121558866, https://openalex.org/W2068645718, https://openalex.org/W2119587652, https://openalex.org/W2151222191, https://openalex.org/W2288802977, https://openalex.org/W2353487644, https://openalex.org/W2388800308, https://openalex.org/W2889122466, https://openalex.org/W2890853717, https://openalex.org/W2900408224, https://openalex.org/W3207371012, https://openalex.org/W4205619119, https://openalex.org/W4308908946]"
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[3.0],"[2009, 2022]","[https://openalex.org/W1966505070, https://openalex.org/W4285024880]"
Absolute Mobility Measures | Others_DataType | Empirical Estimates and Determinants,Absolute Mobility Measures,Others_DataType,Empirical Estimates and Determinants,[3.0],"[2020, 2024]","[https://openalex.org/W3041900243, https://openalex.org/W4391164542]"
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[3.0, 50.99999999999999, 14.099519682025582, 8.3427188904714, 7.1713594452357]","[2016, 1996, 2007, 2014, 2019, 2023]","[https://openalex.org/W2508091509, https://openalex.org/W4205561583, https://openalex.org/W1521709394, https://openalex.org/W2322954441, https://openalex.org/W2924600205, https://openalex.org/W4362611983]"
Absolute Mobility Measures | Linked Administrative Data | Measurement and Methodological Advances,Absolute Mobility Measures,Linked Administrative Data,Measurement and Methodological Advances,[3.0],[2024],[https://openalex.org/W4393244952]
Others_Measure | No dataset | Theoretical and Structural Models,Others_Measure,No dataset,Theoretical and Structural Models,"[3.0, 4.136787424882799, 90.33637971709894, 10.449972979206006]","[2012, 2019, 1997, 2015, 2024]","[https://openalex.org/W3125905928, https://openalex.org/W3183234565, https://openalex.org/W2078842385, https://openalex.org/W2767739989, https://openalex.org/W4395463994]"
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants,"[3.0, 6.0, 8.223303379776745, 11.223303379776745]","[2021, 2022]","[https://openalex.org/W3208235548, https://openalex.org/W3166017557, https://openalex.org/W4205731136, https://openalex.org/W4285249755, https://openalex.org/W4312204683]"
Regression‐based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[3.0, 16.78438025996442, 5.7683903163054335, 10.611436654790776, 7.618896078604625, 23.10638729415077, 26.10638729415077, 48.45386032909946, 677.904566453908, 897.5004381850008, 77.01618300670297, 47.23418136397516, 26.61709068198758, 43.34396529899812, 117.38541019258767, 47.48075272388092, 50.48075272388092, 103.96150544776184, 93.50374712866214, 64.68946701158899, 52.02544841409666, 211.10179365638663, 42.99631073313062, 77.8609250567641, 41.93046252838205, 51.165453330617275, 47.54211421827042, 50.54211421827042, 46.99946600289236, 49.99946600289236, 46.52706329332335, 216.78224427153384, 44.07255487095847, 61.15408480020215, 83.69329866994315, 66.42765964996775, 46.825911201130914, 49.825911201130914, 52.825911201130914, 55.825911201130914, 51.59927844266392, 54.59927844266392, 57.59927844266392, 53.143084293711375, 56.143084293711375, 59.143084293711375]","[2016, 2005, 2018, 2022, 2015, 2011, 1992, 1990, 2008, 2012, 2017, 2014, 2007, 2009, 2010, 2013, 2019, 2020, 2021, 2023, 2024]","[https://openalex.org/W2411230938, https://openalex.org/W2148814768, https://openalex.org/W2802089178, https://openalex.org/W4238028113, https://openalex.org/W4308132439, https://openalex.org/W1020822704, https://openalex.org/W1444704346, https://openalex.org/W1580804840, https://openalex.org/W1963513809, https://openalex.org/W1988669335, https://openalex.org/W2127281421, https://openalex.org/W2157585414, https://openalex.org/W2210747677, https://openalex.org/W2351358614, https://openalex.org/W2353931744, https://openalex.org/W2355555430, https://openalex.org/W2363649169, https://openalex.org/W2364722826, https://openalex.org/W2365705769, https://openalex.org/W2368218525, https://openalex.org/W2380359989, https://openalex.org/W2553521091, https://openalex.org/W2587329652, https://openalex.org/W2612875108, https://openalex.org/W2756659966, https://openalex.org/W2766173862, https://openalex.org/W2883024550, https://openalex.org/W2895165109, https://openalex.org/W2943421593, https://openalex.org/W2978816005, https://openalex.org/W3033501614, https://openalex.org/W3093752946, https://openalex.org/W3119775080, https://openalex.org/W3121545129, https://openalex.org/W3125643021, https://openalex.org/W3156722884, https://openalex.org/W4285263003, https://openalex.org/W4286458987, https://openalex.org/W4296277673, https://openalex.org/W4304172618, https://openalex.org/W4381512763, https://openalex.org/W4381736130, https://openalex.org/W4385260730, https://openalex.org/W4391619986, https://openalex.org/W4395466247, https://openalex.org/W4401871424, https://openalex.org/W623596649]"
Regression‐based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 9.0, 8.169142597486658, 17.223303379776745, 20.223303379776745, 38.21081629794611, 60.916767282682436, 63.916767282682436, 39.710542717172814, 25.807717547627952, 42.11718503076079, 21.33256957648795, 21.571080461365344, 21.778716246547617, 24.778716246547617, 35.69571210611642, 85.00721155348734, 27.411911018593965, 86.09737530118359, 31.40154195167364, 34.401541951673636, 25.696553374009476]","[2019, 2014, 2018, 2010, 2007, 2011, 2015, 2012, 2020, 2021, 2013, 2024]","[https://openalex.org/W2912277864, https://openalex.org/W1504875321, https://openalex.org/W2905819002, https://openalex.org/W1524458346, https://openalex.org/W1967097718, https://openalex.org/W1969197029, https://openalex.org/W1989526535, https://openalex.org/W2053034611, https://openalex.org/W2187204840, https://openalex.org/W2208317766, https://openalex.org/W2244928658, https://openalex.org/W2890591802, https://openalex.org/W2942948331, https://openalex.org/W3001385022, https://openalex.org/W3039606322, https://openalex.org/W3121626177, https://openalex.org/W3122884517, https://openalex.org/W3204672706, https://openalex.org/W4238048379, https://openalex.org/W4247667710, https://openalex.org/W4252952688, https://openalex.org/W4396530482, https://openalex.org/W4402923847]"
Regression‐based Measures | Linked Administrative Data | Empirical Estimates and Determinants,Regression‐based Measures,Linked Administrative Data,Empirical Estimates and Determinants,"[3.0, 3.3264564612360465, 49.33357673774515, 59.669398444767836, 5.826309241763887, 11.83103343935416, 11.966246691483796, 14.966246691483796, 16.028874487699973]","[2006, 2022, 2003, 2002, 2024, 2021, 2023]","[https://openalex.org/W3122728969, https://openalex.org/W4295122648, https://openalex.org/W2049773875, https://openalex.org/W2124465354, https://openalex.org/W3121518780, https://openalex.org/W3181973673, https://openalex.org/W4377834046, https://openalex.org/W4390066466, https://openalex.org/W4401327824, https://openalex.org/W4405654739]"
