id,keyword1,keyword2,keyword3
0,Absolute Income Mobility,Intergenerational Economic Opportunity,American Dream
1,Income Mobility,British Economy,Intergenerational Mobility
2,Intergenerational Income Mobility,British Economy,Income Distribution
3,Intergenerational Social Mobility,Ordinal Contingency Tables,Social Class and Income Dynamics
4,Absolute Income Mobility,Cohort Analysis,International Comparison
5,Income Mobility,Intergenerational Mobility,Income Inequality
6,Absolute Income Mobility,Copula Methods,Cross-Country Analysis
7,Income Inequality,Intergenerational Mobility,Welfare State Political Economy
8,Absolute Income Mobility,Intergenerational Comparison,Australian Income Trends
9,Income Mobility,Human Capital Theory,National Longitudinal Survey of Youth (NLSY)
10,Intergenerational Mobility,Educational Persistence,Income Mobility in Chile and Peru
11,Intergenerational Earnings Mobility,Cross-National Comparison,American Exceptionalism
12,Absolute Income Mobility,Intergenerational Income Comparison,Income Growth and Inequality
13,Intergenerational Mobility,Income and Occupational Mobility,International Comparison
14,Social Capital,Economic Mobility,Social Network Analysis
15,Social Mobility,Income Inequality,Chile
16,Intergenerational Mobility,Social Policy,Income & Educational Mobility
17,Geographic Mobility,Intergenerational Mobility,Natural Experiment
18,Economic Mobility,Extended Atkinson Indices,Inequality Aversion
19,Socioeconomic Mobility,Racial Disparities,Infant Birthweight
20,Intergenerational Mobility,Income Elasticity,Panel Study of Income Dynamics
21,Class Origin,Earnings Disparities,High-Status Occupations
22,Economic Mobility,Latin American Middle Class,Social Transformation
23,Economic Mobility,Labor Market Transformation,Intergenerational Comparison
24,Cultural Consumption,Economic Returns,Social Mobility
25,Intergenerational Mobility,Equality of Opportunity,Big Data Analysis
26,Great Gatsby Curve,Intergenerational Mobility,Income Inequality
27,Institutional Quality,Entrepreneurship,Income Mobility
28,Social Mobility in Britain,Research Impact,Methodological Reassessment
29,Intergenerational Earnings Mobility,Immigrant Labor Market Integration,Multigenerational Analysis
30,Immigration,Social Mobility,Norwegian Administrative Data
31,Income Inequality,Intergenerational Mobility,Great Gatsby Curve
32,Upward Socioeconomic Mobility,Cardiometabolic Health,Psychological Well-being
33,Income Mobility,Indian Socio-economic Dynamics,IHDS Data Analysis
34,Genetic Inheritance,Social Mobility,Progressive Income Tax
35,Educational Assortative Mating,Income Mobility,Educational Resource Distribution
36,Intergenerational Poverty,Human Capital Investment,Rural Social Mobility
37,Human Capital Development,Inter-generational Income Mobility,Cognitive and Non-Cognitive Skills
38,Intergenerational Income Mobility,Imputed Rents,Cross-Country Comparison
39,Intergenerational Earnings Mobility,Three-Generation Immigrant Analysis,Assimilation Dynamics
40,Economic Connectedness,Social Capital,Economic Mobility
41,Intergenerational Mobility,Self-Rated Health,Income and Educational Disparities
42,Income Mobility,Consuming Welfare,Pseudo-Panel Data
43,Subjective Upward Mobility,Intergenerational Comparison,Social Polarization
44,Multigenerational Mobility,Inequality Transmission,Swedish Tax Records
45,Economic Mobility,Social Perceptions,Survey Experiment
46,Intergenerational Mobility,Threshold Effects,Status Traps
47,Mother’s Income Influence,Intergenerational Mobility,Gendered Economic Outcomes
