id,method_cat,method_type
0,4,Absolute mobility measures
1,1,Intergenerational Elasticity (IGE)
2,1,"Based on the title, the study likely employs regression‐based measures such as estimates of intergenerational elasticity (IGE)"
3,3,Transition Matrix / Probability Measures (using square ordinal contingency tables to quantify the association between parental and child socioeconomic positions)
4,4,Absolute upward income mobility rates
5,3,The paper appears to use a mobility measure based on movement across income quintiles—essentially tracking the probability of transitioning from one parental quintile to another. This suggests the use of a transition matrix or probability-based measure of intergenerational mobility.
6,4,Absolute Income Mobility measures estimated via copula and marginals approximation methods
7,8,"A theoretical, structural political economy model that embeds stochastic overlapping‐generations dynamics to analyze the effects of income inequality and mobility on redistribution."
8,4,Absolute income mobility measure
9,1,Intergenerational Elasticity (IGE)
10,1,"The paper uses a regression‐based approach to estimate intergenerational persistence (commonly interpreted as Intergenerational Elasticity, IGE) for income. It also reports absolute mobility measures—specifically, the probabilities of upward movement in educational attainment."
11,1,Regression‐based measures (using regression and correlation coefficients) and Transition Matrix / Probability Measures (mobility matrices)
12,4,Absolute Income Mobility Measure
13,1,Intergenerational Elasticity (IGE) from income regressions and occupational correlation estimates
14,8,"The study constructs novel social capital measures: economic connectedness (the share of high‐SES friends among low‐SES individuals), social cohesion (e.g., the extent of cliques in networks), and civic engagement (e.g., volunteering rates)."
15,3,"Transition Matrix / Probability Measures – the paper appears to analyze specific mobility flows (e.g., long-range downward mobility and mobility barriers) implicitly using transition probabilities between class positions."
16,1,"The paper uses regression‐based measures – for example, estimating intergenerational elasticities (of income and education) that capture nonlinearities in the mobility process."
17,1,Reduced‐form regression estimates capturing the causal impact of an exogenous geographic mobility shock (lava shock) on lifetime earnings and education
18,8,extended Atkinson indices
19,1,"Logistic regression-based measure—in particular, the estimated change (coefficient) in the probability of low birthweight associated with a 1 unit increase in the natural logarithm of adult family income"
20,1,Intergenerational Elasticity (IGE)
21,1,Class‐origin earnings gap estimated via regression analysis
22,4,Absolute Mobility Measures
23,8,"The study uses a descriptive intergenerational comparison of career outcomes (a cohort‐based, career trajectory analysis) that does not clearly fall into the predefined parametric or structural mobility measure categories."
24,1,"Regression-based estimates from predictive models linking cultural consumption to future earnings, upward social mobility, and promotions"
25,4,"Absolute Mobility Measure – specifically, the probability that children earn more than their parents (an upward mobility measure)"
26,1,Intergenerational Elasticity (IGE) estimated via reduced‐form regressions with additional structural (nonlinear transmission) estimates
27,1,"Regression‐based measure (likely an estimate of intergenerational elasticity, i.e. income persistence)"
28,1,Intergenerational Elasticity (IGE) or similar regression‐based measures of income persistence
29,1,"Regression‐based Measures (e.g., regression estimates of intergenerational earnings elasticity)"
30,2,"The paper uses rank‐based measures through parental earnings rank to assess intergenerational mobility, quantifying the steepness of the social gradient in labor market outcomes."
31,1,Intergenerational Elasticity (IGE)
32,4,Upward/Downward Income Mobility indicator
33,4,Average absolute income gap (Absolute Mobility Measure) estimated via OLS regression
