year,method_cat_title,count
1976,Absolute Mobility Measures,1
1979,Decomposition / Structural Approaches,2
1979,Regression‐based Measures,1
1980,Regression‐based Measures,1
1981,Decomposition / Structural Approaches,1
1986,Absolute Mobility Measures,1
1990,Regression‐based Measures,1
1992,Regression‐based Measures,1
1995,Transition Matrix / Probability Measures,1
1995,Decomposition / Structural Approaches,1
1996,Regression‐based Measures,1
1996,Transition Matrix / Probability Measures,1
1997,Regression‐based Measures,1
1998,Others,1
1998,Regression‐based Measures,3
1998,Transition Matrix / Probability Measures,1
1999,Regression‐based Measures,1
2000,Regression‐based Measures,1
2000,Decomposition / Structural Approaches,2
2001,Absolute Mobility Measures,1
2001,Multigenerational Measures,1
2002,Non‐parametric Approaches,1
2002,Others,2
2002,Regression‐based Measures,3
2003,Transition Matrix / Probability Measures,1
2003,Decomposition / Structural Approaches,1
2003,Regression‐based Measures,2
2004,Regression‐based Measures,2
2004,Decomposition / Structural Approaches,1
2005,Decomposition / Structural Approaches,1
2005,Regression‐based Measures,5
2005,Transition Matrix / Probability Measures,2
2006,Decomposition / Structural Approaches,1
2006,Regression‐based Measures,8
2006,Transition Matrix / Probability Measures,2
2007,Transition Matrix / Probability Measures,1
2007,Regression‐based Measures,9
2007,Decomposition / Structural Approaches,1
2007,Others,2
2008,Absolute Mobility Measures,1
2008,Others,1
2008,Rank‐based Measures,1
2008,Regression‐based Measures,9
2008,Transition Matrix / Probability Measures,1
2009,Regression‐based Measures,9
2009,Decomposition / Structural Approaches,1
2009,Others,1
2009,Transition Matrix / Probability Measures,3
2010,Regression‐based Measures,7
2010,Rank‐based Measures,1
2010,Transition Matrix / Probability Measures,1
2010,Non‐parametric Approaches,1
2010,Decomposition / Structural Approaches,3
2010,Others,1
2011,Transition Matrix / Probability Measures,3
2011,Regression‐based Measures,17
2011,Decomposition / Structural Approaches,1
2011,Multigenerational Measures,1
2011,Rank‐based Measures,2
2012,Absolute Mobility Measures,1
2012,Decomposition / Structural Approaches,2
2012,Others,1
2012,Regression‐based Measures,17
2012,Transition Matrix / Probability Measures,1
2013,Regression‐based Measures,18
2013,Absolute Mobility Measures,1
2013,Decomposition / Structural Approaches,6
2013,Others,1
2013,Transition Matrix / Probability Measures,3
2014,Regression‐based Measures,24
2014,Transition Matrix / Probability Measures,1
2014,Rank‐based Measures,3
2014,Non‐parametric Approaches,2
2014,Decomposition / Structural Approaches,2
2014,Absolute Mobility Measures,2
2015,Absolute Mobility Measures,1
2015,Decomposition / Structural Approaches,5
2015,Non‐parametric Approaches,1
2015,Others,3
2015,Regression‐based Measures,21
2015,Transition Matrix / Probability Measures,1
2016,Transition Matrix / Probability Measures,3
2016,Regression‐based Measures,23
2016,Rank‐based Measures,2
2016,Absolute Mobility Measures,1
2016,Multigenerational Measures,1
2016,Decomposition / Structural Approaches,3
2016,Others,1
2017,Regression‐based Measures,13
2017,Multigenerational Measures,3
2017,Non‐parametric Approaches,2
2017,Absolute Mobility Measures,2
2017,Decomposition / Structural Approaches,2
2018,Absolute Mobility Measures,3
2018,Decomposition / Structural Approaches,4
2018,Others,2
2018,Rank‐based Measures,3
2018,Regression‐based Measures,22
2018,Transition Matrix / Probability Measures,1
2019,Decomposition / Structural Approaches,5
2019,Absolute Mobility Measures,2
2019,Non‐parametric Approaches,1
2019,Others,7
2019,Rank‐based Measures,3
2019,Regression‐based Measures,29
2019,Transition Matrix / Probability Measures,5
2020,Regression‐based Measures,14
2020,Rank‐based Measures,4
2020,Transition Matrix / Probability Measures,2
2020,Others,5
2020,Multigenerational Measures,1
2020,Decomposition / Structural Approaches,8
2020,Absolute Mobility Measures,5
2020,Non‐parametric Approaches,1
2021,Absolute Mobility Measures,4
2021,Decomposition / Structural Approaches,4
2021,Multigenerational Measures,1
2021,Non‐parametric Approaches,2
2021,Others,1
2021,Rank‐based Measures,5
2021,Regression‐based Measures,25
2021,Transition Matrix / Probability Measures,2
2022,Transition Matrix / Probability Measures,2
2022,Regression‐based Measures,21
2022,Rank‐based Measures,7
2022,Decomposition / Structural Approaches,7
2022,Absolute Mobility Measures,7
2022,Others,4
2023,Absolute Mobility Measures,2
2023,Decomposition / Structural Approaches,3
2023,Rank‐based Measures,10
2023,Regression‐based Measures,23
2023,Transition Matrix / Probability Measures,4
2024,Transition Matrix / Probability Measures,1
2024,Absolute Mobility Measures,4
2024,Decomposition / Structural Approaches,4
2024,Multigenerational Measures,1
2024,Others,5
2024,Rank‐based Measures,4
2024,Regression‐based Measures,23
2025,Others,1
2025,Rank‐based Measures,2
2025,Absolute Mobility Measures,1
2025,Regression‐based Measures,2
