citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2024,1969,3,5,1
1980,1977,2,6,1
1982,1978,0,7,1
2016,1979,2,0,7
2019,1980,2,2,3
2005,1984,5,0,1
2019,1986,2,4,1
2005,1990,2,2,1
2001,1991,0,0,1
2005,1992,1,3,2
2022,1995,0,0,2
2018,1996,1,0,2
2020,1997,4,0,1
2015,1998,2,2,2
2013,1999,2,2,4
2011,2000,2,5,4
2019,2002,2,2,12
2019,2003,2,2,3
2009,2004,5,2,1
2019,2005,2,2,12
2015,2006,2,5,4
2016,2007,2,2,11
2012,2008,2,2,2
2015,2009,2,2,8
2022,2010,2,2,5
2015,2011,2,5,6
2019,2012,2,2,9
2019,2013,2,2,12
2019,2014,2,7,14
2021,2015,2,2,3
2023,2016,2,2,6
2020,2017,4,4,5
2019,2018,5,6,4
2020,2019,2,2,7
2023,2020,2,2,5
2024,2021,4,4,3
2024,2022,7,7,4
2024,2023,4,4,3
2024,2024,4,4,4
