node,iter,std_x,std_y,avg_disp,mean_x,mean_y
Regression‐based Measures,100,0.16941040490874087,0.17468662493864753,0.22493631335653091,-0.002756968986919936,0.04660262568449623
Empirical Estimates and Determinants,100,0.19061281734799898,0.21831022513547887,0.2739071276278975,0.0070711145909170625,0.01667754755583955
Linked Administrative Data,100,0.265128778006049,0.3001821376097832,0.3751194966257717,0.07537759982244216,0.02158615513052128
Rank‐based Measures,100,0.212138169229765,0.13990258504756203,0.22899268985348614,-0.08846857636274355,0.012114969169539514
Transition Matrix / Probability Measures,100,0.23310759754753121,0.30865121825303027,0.35838069597861955,0.06056293955246317,0.0015246127945366553
No dataset,100,0.38260652184721744,0.4070619151022985,0.5444387524243754,0.06275903284463638,0.04635577278875328
Theoretical and Structural Models,100,0.353603512690369,0.44583871854564244,0.5500581921408505,0.02801461669449735,-0.09664627079859776
Decomposition / Structural Approaches,100,0.39708082383052173,0.3757265407094188,0.5385753658157976,-0.009566177261533512,-0.08784132819100211
Administrative/Registry Data,100,0.2801718842418592,0.4216192505762978,0.4941370923389582,0.016312375171480802,-0.030046363292325372
International Panel Data,100,0.486477993823729,0.5001127737257243,0.6929484998907923,0.0007218047699801833,-0.018963601795746975
Panel/Longitudinal Surveys,100,0.1949982520290215,0.155454300251549,0.2227685005680653,-0.004236966352261224,-0.01178238656780013
Intergenerational Wealth Mobility and Inheritance,100,0.25817510078661476,0.23761280927955405,0.3371762700887585,0.08468098947511497,0.008453648165232091
National Survey Data,100,0.233102321648039,0.28463595865787505,0.35509921880821815,-0.05770649782984615,0.09056101135447613
Measurement and Methodological Advances,100,0.286687697283706,0.3849982765529399,0.4647733212205968,-0.04164596378906905,-0.08856183788839686
"Policy, Institutional, and Geographic Impacts",100,0.3315446788386706,0.2709417428794787,0.4143329297451667,-0.13253517534434195,-0.13551502456655543
"Demographic Differences in Mobility (Race, Gender, etc.)",100,0.4297523375500152,0.2756568782564654,0.4891308295049478,-0.023378593240994772,-0.05692673089378968
Absolute Mobility Measures,100,0.34816452644692614,0.3113323382031892,0.4554623635766756,-0.05996592569225494,0.008148044204019319
Others_Measure,100,0.2471458365165206,0.28502673594202843,0.3552855272548901,-0.015224035644389724,-0.016059935503549384
Others_DataType,100,0.46233248884697054,0.3754352421337301,0.5797865978108585,0.10539863416097382,-0.000919276732957446
Archival/Historical Data,100,0.5014488956776132,0.30441461661921526,0.5676897557964863,-0.02731834833807225,-0.10604627445901325
Non‐parametric Approaches,100,0.24023957247338615,0.21235708477580964,0.2953185618739945,-0.0578708197214748,0.009108722015003139
Natural/Experimental Data,100,0.5904579165076032,0.39982428151702565,0.7069681902720412,-0.022405941367926122,-0.026963951502270815
Opportunity Atlas,100,0.36286644457220335,0.4276047793098054,0.5432404443900779,-0.11772741647646398,0.0927781562275017
Multigenerational Measures,100,0.3950048283432656,0.49250232172441777,0.6144108089528146,0.17701866613670525,0.0308266467359627
Perceptions of Mobility and Attitudes,100,0.4533719799407196,0.5504720545305529,0.7010888003710998,-0.18000174363945043,-0.0757813973108741
University/Institution Data,100,0.48499755715201753,0.4335288789199821,0.6391782015948839,-0.06994187047859642,0.0025134309248002274
Big Data,100,0.42630419282413035,0.5285091588738382,0.6615383109335788,-0.04844899619312182,0.1258985154779095
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",100,0.5638364117326029,0.5323778228629112,0.7694127299649904,0.05002179758275676,-0.08143485014631639
Others_RqType,100,0.5944289717259261,0.40382876946077717,0.683673331064643,0.2475215267230461,0.059255018259933546
Pseudo-Panel/Household Budget Survey,100,0.8005921071819285,0.7320512127570646,1.0733364016500797,0.04373891919444919,0.2610843531606709
Regression‐based Measures,500,0.1917788629204623,0.15434794086233952,0.22488165560101184,0.0020839223389848387,0.0008530571884271267
Empirical Estimates and Determinants,500,0.22453700964552922,0.19465881520078893,0.2759406524168699,-0.022298388357666916,-0.025105783620149855
Linked Administrative Data,500,0.2736255594839472,0.28123797829549346,0.3877711165613574,0.01992885057604803,-0.027918542006997324
Rank‐based Measures,500,0.17769184519089132,0.20094283646624467,0.2422229289625134,-0.0581203577494551,-0.02163545725279575
