,std_x,std_y,avg_disp
Pseudo-Panel/Household Budget Survey,0.8878426316957055,0.627570094154937,1.0773879703976599
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.5880621335193262,0.5000475918913996,0.7664506833026699
Natural/Experimental Data,0.5641338845935971,0.4483987023143722,0.709626013216319
Perceptions of Mobility and Attitudes,0.5318634431843815,0.4814817755171047,0.7076940994232818
International Panel Data,0.5399394738454601,0.45124662317883174,0.698345979793431
Others_RqType,0.490851205366099,0.5213252762004137,0.6906311527299055
Big Data,0.3914069451159183,0.5741577544863076,0.6849698592563043
University/Institution Data,0.513168620148838,0.42353817477481925,0.65163940701092
Multigenerational Measures,0.40274984781645917,0.5020826918814928,0.6302062073924103
Theoretical and Structural Models,0.4119932163740662,0.46074373347134906,0.6080490614643987
Others_DataType,0.43737418171574544,0.4371704237440424,0.60762462137503
Archival/Historical Data,0.44205189895370456,0.3853781567782884,0.5659047152200435
Decomposition / Structural Approaches,0.39623462515766333,0.38447806352445707,0.5421416807594974
Opportunity Atlas,0.3627994463763273,0.41799184197782546,0.5386278400259651
No dataset,0.3456475598015537,0.4300164477649114,0.5366273928613692
"Demographic Differences in Mobility (Race, Gender, etc.)",0.40811754119109467,0.3105432092882713,0.49661214620609745
Administrative/Registry Data,0.2897036478514937,0.40785647532875213,0.47403096220561897
Measurement and Methodological Advances,0.3067462347192686,0.3395182271542587,0.439250815144679
Absolute Mobility Measures,0.33895137965347477,0.3147285722583872,0.4353841303341891
Linked Administrative Data,0.2593157620669222,0.3570407906464279,0.4203572373758099
"Policy, Institutional, and Geographic Impacts",0.3381493400703061,0.279276098366997,0.4168278089550645
Transition Matrix / Probability Measures,0.3213870791692677,0.25519606322561955,0.38425068086474307
National Survey Data,0.26844809918991247,0.26165510761585137,0.3522998950245392
Intergenerational Wealth Mobility and Inheritance,0.25104037560702447,0.2383831052330674,0.33387007363591853
Non‐parametric Approaches,0.27835311023981096,0.218425551949373,0.3316575257333064
Others_Measure,0.22427983520978056,0.2703251857063529,0.3294101809878049
Empirical Estimates and Determinants,0.24508305969191188,0.2026353705447679,0.30187569015029225
Panel/Longitudinal Surveys,0.2027904193424906,0.19439474302265322,0.2581444161980171
Rank‐based Measures,0.19160338469026128,0.18946657615501003,0.25093556031540265
Regression‐based Measures,0.19940943988080959,0.1693936782199051,0.23529961354687212
