id,rq_cat,rq_type
0,4,"The paper asks: What are the trends in absolute income mobility since 1940, specifically regarding whether children are doing better than their parents (i.e., intergenerational income mobility) and what factors might be driving the observed differences over time?"
1,2,How Much Income Mobility is There in Britain?
2,2,"The paper appears to empirically explore the degree of income mobility across generations in Britain—essentially asking, 'What is the level of intergenerational income mobility in Britain?'"
3,1,"How do different methodological approaches to analyzing square ordinal contingency tables compare when applied to social class and income mobility data from the same individuals, and how does the use of the same individuals influence the measurement of intergenerational mobility over time?"
4,2,"The paper primarily addresses empirical estimates and determinants by asking: What are the trends in absolute upward income mobility across different cohorts in North America and Europe, and how do differences in marginal income distributions, especially cross-cohort income inequality, explain these mobility patterns? It also investigates a methodological question: Can absolute mobility rates be accurately estimated without linked parent–child data?"
5,4,"The paper examines intergenerational income mobility by asking: To what extent does parental income (as captured by income quintiles) influence the income mobility of their children over time? In doing so, it also investigates how rising income inequality interacts with observed mobility, especially across generations."
6,1,"The paper’s research questions focus on the methodological challenges in measuring absolute income mobility. Specifically, it asks how well methods such as copula and marginals approximation perform across different countries, what issues arise from using nonrepresentative marginal income distributions, and how sensitive the estimates are to specification decisions such as the age of income measurement, the income concept, family structure, and price indexing."
7,7,"The paper employs a theoretical and structural model. It asks: How do income inequality and mobility affect the demand for redistribution and social insurance, and how do these factors influence political equilibria, coalition formation, and the allocation of government revenues among transfer payments and old-age pensions in a welfare state?"
8,4,"The paper asks: “Are we richer than our parents were at the same age?” More specifically, it examines the level and changes over time of intergenerational (absolute) income mobility in Australia, assessing what proportion of children earn more than their parents did, and how factors like income growth and rising inequality contribute to these outcomes."
9,4,"The paper asks: 'How does the standard of living experienced in youth influence adult income (i.e., intergenerational income mobility) and has this relationship, and thus the level of income mobility, changed between the 1979 and 1997 cohorts?'"
10,4,"The paper asks: What is the degree of intergenerational persistence in income and education in Chile and Peru across different birth cohorts? How do mobility patterns—particularly non-linear patterns among low, average, and high educational groups—and absolute versus relative mobility differ between the two countries?"
11,4,"The paper’s research questions focus on comparing intergenerational earnings mobility—specifically, examining differences in the degree of earnings persistence (and mobility across the tails of the earnings distribution) among fathers and their children across countries (the United States, the United Kingdom, and the Nordic countries). Essentially, it asks: “How does intergenerational earnings mobility differ across these regions, and what are the patterns particularly in extreme income groups?”"
12,2,"The paper empirically estimates absolute intergenerational income mobility in Australia — specifically, it asks whether, and to what extent, current 30–34-year-olds have higher real incomes than their parents at the same age, and explores factors (like lower income growth and rising inequality) that may explain these mobility differences."
13,2,"The paper poses empirical questions on the extent to which a person’s income or occupation is determined by parental background, how economic growth and inequality influence these trends, and how U.S. mobility compares with that in other countries."
14,2,How are different dimensions of social capital—especially the economic connectedness between low‐ and high‐SES individuals—associated with upward income mobility across geographic areas?
15,2,"The paper primarily asks: 'Does high economic inequality result in lower intergenerational social mobility, as predicted by studies of industrialized nations? Specifically, is Chile’s high inequality linked to lower overall mobility and particular barriers to long‐range downward mobility from the elite?'"
16,3,"The paper asks: 'What are the sources of differences in social mobility between the U.S. and Denmark, particularly in terms of income and educational mobility, and how do policy factors such as redistributional tax, transfer, and wage compression policies (as well as social policies for children) contribute to these differences?'"
17,4,"The paper primarily asks: What are the intergenerational consequences of forced geographic mobility (induced by a volcanic shock) on lifetime earnings and education outcomes? In particular, it examines how such a mobility shock affects children compared to their parents, highlighting differences in intergenerational mobility."
18,1,"The paper poses a research question centered on measurement and methodological advances: How can the separate aspects of economic mobility, namely 'reversal' and 'origin independence,' be evaluated and quantified (using extended Atkinson indices) to assess their relative impact on welfare, particularly under varying considerations such as aversion to inequality, intertemporal fluctuations, and future risk?"
19,6,"The paper investigates how maternal upward socioeconomic mobility relates to non-income health outcomes—in this case, infant birthweight outcomes among Black and White women who experienced childhood poverty. In essence, it asks: 'To what extent does upward socioeconomic mobility reduce the probability of giving birth to a low‐birthweight baby, and do these effects differ by race?'"
20,2,"Empirical Estimates and Determinants: The paper aims to determine whether the intergenerational transmission of economic status, as measured by the elasticity of son’s income with respect to parental income, has changed over time (across different birth cohorts) and if the trend is nonlinear."
21,2,"How does class origin shape earnings within high-status occupations, and what are the determinants (e.g., occupation type, firm size, geographic location) that explain the persistent class-origin pay gap among upwardly mobile individuals?"
22,2,"The paper primarily investigates the empirical aspects of economic mobility: it aims to document and analyze the nature, determinants, and consequences of substantial social transformation in Latin America and the Caribbean. Specifically, it asks: How have changes in income and the composition of social classes—namely, the contraction of poverty and the dramatic rise of the middle class—manifested in economic mobility over recent decades, both within and between generations? Furthermore, it explores how these shifts might reshape the region's social contract."
23,2,"The paper asks: What are the prospects for upward mobility for workers in the contemporary, uncertain labor market compared to those who entered during an era of stability? In essence, it empirically estimates and compares career outcomes (i.e., wage and income mobility) across two generations to identify the determinants and trends that underpin a growing gap between upwardly mobile workers and those trapped in low-wage, dead-end jobs, and it also explores policy strategies to improve these outcomes."
24,2,"Empirical Estimates and Determinants: The paper investigates whether cultural consumption predicts future earnings, upward social mobility, and promotions, thereby exploring how cultural capital contributes to the reproduction of income inequality between generations."
25,3,"The paper primarily asks: 'How can we restore the American Dream of upward mobility for our children?' by examining how and why children’s chances of climbing the income ladder vary across neighborhoods, considering the persistent role of race, and exploring the links between equality of opportunity, innovation, and growth."
26,4,"The paper seeks to answer how cross-sectional income inequality, through nonlinearity in the parent‐child income transmission process and the impact of socioeconomic segregation, affects intergenerational income mobility in the United States."
