id;cited_by_count;title;abs;type_method;type_dataset;type_RQ
https://openalex.org/W2105584013;2341.0;Where is the land of Opportunity? The Geography of Intergenerational Mobility in the United States *;Abstract We use administrative records on the incomes of more than 40 million children and their parents to describe three features of intergenerational mobility in the United States. First, we characterize the joint distribution of parent and child income at the national level. The conditional expectation of child income given parent income is linear in percentile ranks. On average, a 10 percentile increase in parent income is associated with a 3.4 percentile increase in a child’s income. Second, intergenerational mobility varies substantially across areas within the United States. For example, the probability that a child reaches the top quintile of the national income distribution starting from a family in the bottom quintile is 4.4% in Charlotte but 12.9% in San Jose. Third, we explore the factors correlated with upward mobility. High mobility areas have (i) less residential segregation, (ii) less income inequality, (iii) better primary schools, (iv) greater social capital, and (v) greater family stability. Although our descriptive analysis does not identify the causal mechanisms that determine upward mobility, the publicly available statistics on intergenerational mobility developed here can facilitate research on such mechanisms.;2;2;2
https://openalex.org/W2022256544;2152.0;An Equilibrium Theory of the Distribution of Income and Intergenerational Mobility;"The theory of inequality and intergenerational mobility presented in this essay assumes that each family maximizes a utility function spanning several generations. Utility depends on the consumption of parents and on the quantity and quality of their children. The income of children is raised when they receive more human and nonhuman capital from their parents. Their income is also raised by their ""endowment"" of genetically determined race, ability, and other characteristics, family reputation and ""connections,"" and knowledge, skills, and goals provided by their family environment. The fortunes of children are linked to their parents not only through investments but also through these endowments acquired from parents (and other family members). The equilibrium income of children is determined by their market and endowed luck, the own income and endowment of parents, and the two parameters, the degree of inheritability and the propensity to invest in children. If these parameters are both less than unity, the distribution of income between families approaches a stationary distribution. The stationary coefficient of variation is greater, the larger the degree of in-heritability and the smaller the propensity to invest in children. Intergenerational mobility measures the effect of a family on the well-being of its children. We show that the family is more important when the degree of inheritability and the propensity to invest are larger. If both these parameters are less than unity, an increase in family income in one generation has negligible effects on the incomes of much later descendants. However, the incomes of children, grandchildren, and other early descendants could significantly increase; indeed, if the sum of these parameters exceeds unity, the changes in income rise for several generations before falling, and the maximum increase in income could exceed the initial increase.";None;None;None
https://openalex.org/W2122216841;1529.0;Income Inequality, Equality of Opportunity, and Intergenerational Mobility;My focus is on the degree to which increasing inequality in the high-income countries, particularly in the United States, is likely to limit economic mobility for the next generation of young adults. I discuss the underlying drivers of opportunity that generate the relationship between inequality and intergenerational mobility. The goal is to explain why America differs from other countries, how intergenerational mobility will change in an era of higher inequality, and how the process is different for the top 1 percent. I begin by presenting evidence that countries with more inequality at one point in time also experience less earnings mobility across the generations, a relationship that has been called “The Great Gatsby Curve.” The interaction between families, labor markets, and public policies all structure a child's opportunities and determine the extent to which adult earnings are related to family background—but they do so in different ways across national contexts. Both cross-country comparisons and the underlying trends suggest that these drivers are all configured most likely to lower, or at least not raise, the degree of intergenerational earnings mobility for the next generation of Americans coming of age in a more polarized labor market. This trend will likely continue unless there are changes in public policy that promote the human capital of children in a way that offers relatively greater benefits to the relatively disadvantaged.;None;None;None
https://openalex.org/W2098947378;1362.0;Social Mobility and Redistributive Politics;Just like economists, voters have conflicting views about redistributive taxation because they estimate its incentive costs differently. We model rational agents as trying to learn from their dynastic income mobility experience the relative importance of effort and predetermined factors in the generation of income inequality and therefore the magnitude of these incentive costs. In the long run, “left-wing dynasties” believing less in individual effort and voting for more redistribution coexist with “right-wing dynasties.” This allows us to explain why individual mobility experience and not only current income matters for political attiitudes and how persistent differences in perceptions about social mobility can generate persistent differences in redistribution across countries.;None;None;None
https://openalex.org/W2564827629;703.0;The fading American dream: Trends in absolute income mobility since 1940;"Aspiring to do better than one's parents The American dream promises that hard work and opportunity will lead to a better life. Although the specifics of what constitutes a better life vary from generation to generation, one constant is that children expect to do better—or at least to have a good chance at doing better—than their parents. Chetty et al. show that this dream did come true for children born in the middle of the 20th century, but only for half of children born in 1984 (see the Policy Forum by Katz and Krueger). A more even distribution of economic growth, rather than more growth, would allow more children to fulfill their dreams. Science , this issue p. 398 ; see also p. 382";4;13;2
https://openalex.org/W2037106172;696.0;Equity and Efficiency in Human Capital Investment: The Local Connection;A general model of community formation and human capital accumulation with social spillovers and decentralized school funding is used to analyse the causes of economic segregation and its consequences for equity and efficiency. Significant polarization arises from minor differences in endowments, preferences or access to capital markets. This makes income inequality more persistent across generations, but the same need not be true for wealth. Equilibrium stratification tends to be excessive, resulting in low aggregate surplus. Whether state equalization of school resources can remedy these problems hinges on how purchased, social and family inputs interact in education and in mobility decisions.;None;None;None
https://openalex.org/W2119587652;660.0;Cross-Country Differences in Intergenerational Earnings Mobility;International studies of the extent to which economic status is passed from one generation to the next are important for at least two reasons. First, each study of a particular country characterizes an important feature of that country's income inequality. Second, comparisons of intergenerational mobility across countries may yield valuable clues about how income status is transmitted across generations and why the strength of that intergenerational transmission varies across countries. The first section of this paper explains a benchmark measure of intergenerational mobility commonly used in U.S. studies. The second section summarizes comparable empirical findings that have accumulated so far for countries other than the United States. The third section sketches a theoretical framework for interpreting cross-country differences in intergenerational mobility.;8;14;7
https://openalex.org/W2091916425;654.0;Fortunate Sons: New Estimates of Intergenerational Mobility in the United States Using Social Security Earnings Data;Previous studies, relying on short-term averages of fathers' earnings, have estimated the intergenerational elasticity (IGE) in earnings to be approximately 0.4. Due to persistent transitory fluctuations, these estimates have been biased down by approximately 30% or more. Using administrative data containing the earnings histories of parents and children, the IGE is estimated to be around 0.6. This suggests that the United States is substantially less mobile than previous research indicated. Estimates of intergenerational mobility are significantly lower for families with little or no wealth, offering empirical support for theoretical models that predict differences due to borrowing constraints.;1;2;2
https://openalex.org/W2127161022;635.0;Being Black, Living in the Red: Race, Wealth, and Social Policy in America;Being Black, Living in the Red demonstrates that many differences between blacks and whites stem not from race but from economic inequalities that have accumulated over the course of American history. Property ownership - as measured by net worth - reflects this legacy of economic oppression. The racial discrepancy in wealth holdings leads to advantages for whites in the form of better schools, more desirable residences, higher wages, and more opportunities to save, invest, and thereby further their economic advantages. A new afterword by the author summarizes Conley's recent research on racial differences in wealth mobility and security and discusses potential policy solutions to the racial asset gap and America's low savings rate more generally.;None;None;None
https://openalex.org/W2155246844;619.0;Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility;We present new evidence on trends in intergenerational mobility in the United States using administrative earnings records. We find that percentile rank-based measures of intergenerational mobility have remained extremely stable for the 1971-1993 birth cohorts. For children born between 1971 and 1986, we measure intergenerational mobility based on the correlation between parent and child income percentile ranks. For more recent cohorts, we measure mobility as the correlation between a child's probability of attending college and her parents' income rank. We also calculate transition probabilities, such as a child's chances of reaching the top quintile of the income distribution starting from the bottom quintile. Based on all of these measures, we find that children entering the labor market today have the same chances of moving up in the income distribution (relative to their parents) as children born in the 1970s. However, because inequality has risen, the consequences of the “birth lottery” - the parents to whom a child is born - are larger today than in the past.;2;2;2
https://openalex.org/W3123816425;611.0;Race and Economic Opportunity in the United States: an Intergenerational Perspective*;"Abstract We study the sources of racial disparities in income using anonymized longitudinal data covering nearly the entire U.S. population from 1989 to 2015. We document three results. First, black Americans and American Indians have much lower rates of upward mobility and higher rates of downward mobility than whites, leading to persistent disparities across generations. Conditional on parent income, the black-white income gap is driven by differences in wages and employment rates between black and white men; there are no such differences between black and white women. Hispanic Americans have rates of intergenerational mobility more similar to whites than blacks, leading the Hispanic-white income gap to shrink across generations. Second, differences in parental marital status, education, and wealth explain little of the black-white income gap conditional on parent income. Third, the black-white gap persists even among boys who grow up in the same neighborhood. Controlling for parental income, black boys have lower incomes in adulthood than white boys in 99% of Census tracts. The few areas with small black-white gaps tend to be low-poverty neighborhoods with low levels of racial bias among whites and high rates of father presence among blacks. Black males who move to such neighborhoods earlier in childhood have significantly better outcomes. However, less than 5% of black children grow up in such areas. Our findings suggest that reducing the black-white income gap will require efforts whose impacts cross neighborhood and class lines and increase upward mobility specifically for black men.";4;1;5
