year,type,datatype,rqtype,measures,num_articles,article_ids
2022,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],5,"[https://openalex.org/W4308132439, https://openalex.org/W4285263003, https://openalex.org/W4286458987, https://openalex.org/W4296277673, https://openalex.org/W4304172618]"
2012,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],4,"[https://openalex.org/W191471880, https://openalex.org/W2171543589, https://openalex.org/W2262410031, https://openalex.org/W2351966756]"
2017,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],4,"[https://openalex.org/W2772867153, https://openalex.org/W2773177589, https://openalex.org/W2580182246, https://openalex.org/W2588161629]"
2022,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],4,"[https://openalex.org/W3170592684, https://openalex.org/W3210465688, https://openalex.org/W4220732045, https://openalex.org/W4289824063]"
2024,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W3121518780, https://openalex.org/W4401327824, https://openalex.org/W4405654739]"
2016,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",3,"[https://openalex.org/W3126032812, https://openalex.org/W2298141770, https://openalex.org/W2495276003]"
2023,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W4364368805, https://openalex.org/W4381666160, https://openalex.org/W4387172619]"
2011,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W2094244093, https://openalex.org/W2184544484, https://openalex.org/W2216308767]"
2023,empirical,No dataset,Measurement and Methodological Advances,[Regression‐based Measures],3,"[https://openalex.org/W4361974330, https://openalex.org/W4361988923, https://openalex.org/W4362499633]"
2008,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W2079089263, https://openalex.org/W1978270348, https://openalex.org/W2131012252]"
2023,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W4381889820, https://openalex.org/W4390145267, https://openalex.org/W4327519823]"
2015,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W1020822704, https://openalex.org/W1444704346, https://openalex.org/W2380359989]"
2010,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W1577807578, https://openalex.org/W2028289362, https://openalex.org/W3122768301]"
2013,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W167868874, https://openalex.org/W1842793959, https://openalex.org/W2364400020]"
2015,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W1896316165, https://openalex.org/W1947133949, https://openalex.org/W2376609871]"
2014,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],3,"[https://openalex.org/W1998586807, https://openalex.org/W2011405670, https://openalex.org/W2027209063]"
2017,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],3,"[https://openalex.org/W2766173862, https://openalex.org/W2210747677, https://openalex.org/W2587329652]"
2014,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],3,"[https://openalex.org/W2159988399, https://openalex.org/W2378057080, https://openalex.org/W3121808914]"
