cited_year,p1.category_1,citation_count
1969,Multigenerational Measures,1
1977,Regression‐based Measures,1
1978,Others,1
1979,Regression‐based Measures,104
1979,Decomposition / Structural Approaches,23
1979,Rank‐based Measures,15
1980,Regression‐based Measures,20
1980,Transition Matrix / Probability Measures,4
1980,Absolute Mobility Measures,2
1984,Regression‐based Measures,4
1984,Transition Matrix / Probability Measures,2
1984,Others,1
1986,Regression‐based Measures,3
1990,Regression‐based Measures,14
1990,Others,3
1990,Transition Matrix / Probability Measures,2
1991,Decomposition / Structural Approaches,1
1992,Regression‐based Measures,19
1992,Transition Matrix / Probability Measures,3
1992,Non‐parametric Approaches,2
1995,Regression‐based Measures,8
1995,Others,7
1995,Decomposition / Structural Approaches,5
1996,Decomposition / Structural Approaches,4
1996,Regression‐based Measures,4
1996,Others,3
1997,Others,1
1998,Regression‐based Measures,17
1998,Decomposition / Structural Approaches,2
1998,Transition Matrix / Probability Measures,2
1999,Regression‐based Measures,50
1999,Rank‐based Measures,6
1999,Transition Matrix / Probability Measures,4
2000,Regression‐based Measures,26
2000,Absolute Mobility Measures,4
2000,Decomposition / Structural Approaches,3
2002,Regression‐based Measures,147
2002,Decomposition / Structural Approaches,16
2002,Transition Matrix / Probability Measures,12
2003,Regression‐based Measures,14
2003,Non‐parametric Approaches,2
2003,Transition Matrix / Probability Measures,2
2004,Regression‐based Measures,1
2004,Transition Matrix / Probability Measures,1
2005,Regression‐based Measures,170
2005,Decomposition / Structural Approaches,14
2005,Others,9
2006,Regression‐based Measures,72
2006,Transition Matrix / Probability Measures,8
2006,Decomposition / Structural Approaches,7
2007,Regression‐based Measures,88
2007,Others,9
2007,Decomposition / Structural Approaches,4
2008,Regression‐based Measures,28
2008,Transition Matrix / Probability Measures,4
2008,Absolute Mobility Measures,3
2009,Regression‐based Measures,98
2009,Rank‐based Measures,13
2009,Others,7
2010,Regression‐based Measures,40
2010,Absolute Mobility Measures,4
2010,Rank‐based Measures,4
2011,Regression‐based Measures,115
2011,Others,17
2011,Transition Matrix / Probability Measures,15
2012,Regression‐based Measures,59
2012,Decomposition / Structural Approaches,7
2012,Others,4
2013,Regression‐based Measures,156
2013,Rank‐based Measures,17
2013,Absolute Mobility Measures,13
2014,Regression‐based Measures,246
2014,Rank‐based Measures,47
2014,Decomposition / Structural Approaches,39
2015,Regression‐based Measures,46
2015,Absolute Mobility Measures,6
2015,Others,6
2016,Regression‐based Measures,87
2016,Rank‐based Measures,28
2016,Absolute Mobility Measures,12
2017,Regression‐based Measures,65
2017,Rank‐based Measures,16
2017,Absolute Mobility Measures,13
2018,Regression‐based Measures,74
2018,Rank‐based Measures,20
2018,Decomposition / Structural Approaches,16
2019,Regression‐based Measures,80
2019,Rank‐based Measures,27
2019,Absolute Mobility Measures,17
2020,Regression‐based Measures,41
2020,Absolute Mobility Measures,15
2020,Rank‐based Measures,12
2021,Regression‐based Measures,22
2021,Rank‐based Measures,8
2021,Absolute Mobility Measures,4
2022,Regression‐based Measures,25
2022,Rank‐based Measures,14
2022,Absolute Mobility Measures,6
2023,Rank‐based Measures,8
2023,Regression‐based Measures,7
2023,Others,4
2024,Regression‐based Measures,7
2024,Rank‐based Measures,4
2024,Absolute Mobility Measures,2
