cited_year,p1.category_1,citation_count,percentage
1969,Multigenerational Measures,1,1.0
1977,Regression‐based Measures,1,1.0
1978,Others,1,1.0
1979,Regression‐based Measures,104,0.6011560693641619
1979,Decomposition / Structural Approaches,23,0.1329479768786127
1979,Rank‐based Measures,15,0.08670520231213873
1980,Regression‐based Measures,20,0.7407407407407407
1980,Transition Matrix / Probability Measures,4,0.14814814814814814
1980,Absolute Mobility Measures,2,0.07407407407407407
1984,Regression‐based Measures,4,0.5
1984,Transition Matrix / Probability Measures,2,0.25
1984,Others,1,0.125
1986,Regression‐based Measures,3,1.0
1990,Regression‐based Measures,14,0.7
1990,Others,3,0.15
1990,Transition Matrix / Probability Measures,2,0.1
1991,Decomposition / Structural Approaches,1,1.0
1992,Regression‐based Measures,19,0.76
1992,Transition Matrix / Probability Measures,3,0.12
1992,Non‐parametric Approaches,2,0.08
1995,Regression‐based Measures,8,0.38095238095238093
1995,Others,7,0.3333333333333333
1995,Decomposition / Structural Approaches,5,0.23809523809523808
1996,Decomposition / Structural Approaches,4,0.3333333333333333
1996,Regression‐based Measures,4,0.3333333333333333
1996,Others,3,0.25
1997,Others,1,1.0
1998,Regression‐based Measures,17,0.8095238095238095
1998,Decomposition / Structural Approaches,2,0.09523809523809523
1998,Transition Matrix / Probability Measures,2,0.09523809523809523
1999,Regression‐based Measures,50,0.7246376811594203
1999,Rank‐based Measures,6,0.08695652173913043
1999,Transition Matrix / Probability Measures,4,0.057971014492753624
2000,Regression‐based Measures,26,0.65
2000,Absolute Mobility Measures,4,0.1
2000,Decomposition / Structural Approaches,3,0.075
2002,Regression‐based Measures,147,0.7135922330097088
2002,Decomposition / Structural Approaches,16,0.07766990291262135
2002,Transition Matrix / Probability Measures,12,0.05825242718446602
2003,Regression‐based Measures,14,0.7
2003,Non‐parametric Approaches,2,0.1
2003,Transition Matrix / Probability Measures,2,0.1
2004,Regression‐based Measures,1,0.5
2004,Transition Matrix / Probability Measures,1,0.5
2005,Regression‐based Measures,170,0.7727272727272727
2005,Decomposition / Structural Approaches,14,0.06363636363636363
2005,Others,9,0.04090909090909091
2006,Regression‐based Measures,72,0.6666666666666666
2006,Transition Matrix / Probability Measures,8,0.07407407407407407
2006,Decomposition / Structural Approaches,7,0.06481481481481481
2007,Regression‐based Measures,88,0.822429906542056
2007,Others,9,0.08411214953271028
2007,Decomposition / Structural Approaches,4,0.037383177570093455
2008,Regression‐based Measures,28,0.717948717948718
2008,Transition Matrix / Probability Measures,4,0.10256410256410256
2008,Absolute Mobility Measures,3,0.07692307692307693
2009,Regression‐based Measures,98,0.7101449275362319
2009,Rank‐based Measures,13,0.09420289855072464
2009,Others,7,0.050724637681159424
2010,Regression‐based Measures,40,0.6896551724137931
2010,Absolute Mobility Measures,4,0.06896551724137931
2010,Rank‐based Measures,4,0.06896551724137931
2011,Regression‐based Measures,115,0.6149732620320856
2011,Others,17,0.09090909090909091
2011,Transition Matrix / Probability Measures,15,0.08021390374331551
2012,Regression‐based Measures,59,0.7468354430379747
2012,Decomposition / Structural Approaches,7,0.08860759493670886
2012,Others,4,0.05063291139240506
2013,Regression‐based Measures,156,0.6872246696035242
2013,Rank‐based Measures,17,0.07488986784140969
2013,Absolute Mobility Measures,13,0.05726872246696035
2014,Regression‐based Measures,246,0.5655172413793104
2014,Rank‐based Measures,47,0.10804597701149425
2014,Decomposition / Structural Approaches,39,0.0896551724137931
2015,Regression‐based Measures,46,0.6301369863013698
2015,Absolute Mobility Measures,6,0.0821917808219178
2015,Others,6,0.0821917808219178
2016,Regression‐based Measures,87,0.5576923076923077
2016,Rank‐based Measures,28,0.1794871794871795
2016,Absolute Mobility Measures,12,0.07692307692307693
2017,Regression‐based Measures,65,0.5371900826446281
2017,Rank‐based Measures,16,0.1322314049586777
2017,Absolute Mobility Measures,13,0.10743801652892562
2018,Regression‐based Measures,74,0.5138888888888888
2018,Rank‐based Measures,20,0.1388888888888889
2018,Decomposition / Structural Approaches,16,0.1111111111111111
2019,Regression‐based Measures,80,0.49079754601226994
2019,Rank‐based Measures,27,0.1656441717791411
2019,Absolute Mobility Measures,17,0.10429447852760736
2020,Regression‐based Measures,41,0.47674418604651164
2020,Absolute Mobility Measures,15,0.1744186046511628
2020,Rank‐based Measures,12,0.13953488372093023
2021,Regression‐based Measures,22,0.5238095238095238
2021,Rank‐based Measures,8,0.19047619047619047
2021,Absolute Mobility Measures,4,0.09523809523809523
2022,Regression‐based Measures,25,0.46296296296296297
2022,Rank‐based Measures,14,0.25925925925925924
2022,Absolute Mobility Measures,6,0.1111111111111111
2023,Rank‐based Measures,8,0.36363636363636365
2023,Regression‐based Measures,7,0.3181818181818182
2023,Others,4,0.18181818181818182
2024,Regression‐based Measures,7,0.4117647058823529
2024,Rank‐based Measures,4,0.23529411764705882
2024,Absolute Mobility Measures,2,0.11764705882352941
