node,std_x,std_y,avg_disp,iter,mean_x,mean_y
Regression‐based Measures,0.1825592584866555,0.1804839040019686,0.23519333857703761,2000,0.007848498917837067,0.026668056836906345
Empirical Estimates and Determinants,0.23362807259533142,0.24396396703337814,0.31835613153373254,2000,-0.009190125678378921,0.038555807634430686
Linked Administrative Data,0.280881779891909,0.2583834216334901,0.3600742047727105,2000,-0.042931199375581326,-0.11994485387014146
Rank‐based Measures,0.1927443038170226,0.16827024058293888,0.23507964527612252,2000,0.02991432309818405,-0.021346086316525178
Transition Matrix / Probability Measures,0.2979726117787923,0.26146580758550164,0.38640796799260346,2000,-0.04434281682702739,-0.035981563244795976
No dataset,0.33756537948754267,0.4302960575319325,0.5374986840892954,2000,0.0075834073715849186,-0.030403676958501002
Theoretical and Structural Models,0.4771079597762588,0.4357255160994271,0.6396512182786702,2000,0.03934730908678882,-0.026150530863818116
Decomposition / Structural Approaches,0.3500533338929852,0.39331285282849215,0.5072736671952681,2000,0.042679475763072905,0.08887022848751214
Administrative/Registry Data,0.3196293217787696,0.35445811805244365,0.46695587629049795,2000,-0.03802670090927003,0.012860783167609472
International Panel Data,0.49395216663106045,0.47325855101082315,0.6760345062933928,2000,-0.1028015467199997,0.04612064797665179
Panel/Longitudinal Surveys,0.20982089939309828,0.1555164538591616,0.23610346341817104,2000,-0.02857710926182896,-0.019428679677794068
Intergenerational Wealth Mobility and Inheritance,0.26156016022865347,0.19980832958970995,0.31359723096061365,2000,-0.03116487106815936,0.048565092855773116
National Survey Data,0.2645351870383759,0.1999561089804744,0.3125216343917898,2000,-0.018302113590283747,0.02411114096077968
Measurement and Methodological Advances,0.2625759093574344,0.37147440403392495,0.44338808023686704,2000,0.06760969053001853,-0.018136915069904995
"Policy, Institutional, and Geographic Impacts",0.31043342252253975,0.32047035602616286,0.4145962674161662,2000,-0.10321231562753537,-0.05749733429717011
"Demographic Differences in Mobility (Race, Gender, etc.)",0.44629027576374614,0.35552153941375086,0.5477821070441565,2000,0.05216827947855351,-0.047687771388298085
Absolute Mobility Measures,0.32133454820271273,0.29481048640475344,0.4203248214280034,2000,0.026169818440081576,-0.11900480533058581
Others_Measure,0.23923078670379028,0.2943070639497052,0.36484448261484353,2000,-0.014545669296150341,0.03781543730703991
Others_DataType,0.4073355040546359,0.4224878053905016,0.5669410033266167,2000,-0.06534150068369765,-0.18758515569829767
Archival/Historical Data,0.38983281389472757,0.4389316368004695,0.5610052304665948,2000,0.028772487039232426,0.1294823433912055
Non‐parametric Approaches,0.3019871542192446,0.24759913415086962,0.3700588682593134,2000,-0.027002266168422256,-0.0943678101168343
Natural/Experimental Data,0.5304035257444655,0.42176444534548174,0.6637212927731826,2000,-0.09645202866374818,0.04458948228430208
Opportunity Atlas,0.3915140531436262,0.44135858523645066,0.5773919992645145,2000,-0.06130205162963143,-0.05507409880166023
Multigenerational Measures,0.4438993814791447,0.44082855759591544,0.6136601965025847,2000,0.06673206534059133,0.03280063602347948
Perceptions of Mobility and Attitudes,0.5130701914138117,0.5098563524645642,0.7183324840294458,2000,0.04574816248087014,0.013663354450548074
University/Institution Data,0.5203799755710218,0.4318453133315425,0.6667128726176558,2000,-0.029323809610060605,-0.05860534079745731
Big Data,0.4109075948321048,0.5466944140026088,0.6786917196617404,2000,0.016877211041960383,0.03997099980726968
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.6093122427845985,0.42804197933970023,0.735470905733728,2000,0.10951098367707421,0.023412997057912575
Others_RqType,0.5530760632216619,0.4808319557662251,0.7195162784697984,2000,0.14080015152299963,0.11673186589678047
Pseudo-Panel/Household Budget Survey,0.7443690314658528,0.799403898969673,1.0825903567324613,2000,0.03075426132086853,0.16699574829360686
