,std_x,std_y,avg_disp
Pseudo-Panel/Household Budget Survey,0.8485935089814997,0.7262130232322707,1.1075846634709234
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.5942017889530004,0.4925260804943538,0.7665293953608193
Others_RqType,0.5412940435124883,0.5157795498706558,0.7349429012905127
Perceptions of Mobility and Attitudes,0.49802608850887015,0.5354972750849275,0.7228572660517848
Natural/Experimental Data,0.5653661046947561,0.4422644508341716,0.7056192419508965
Big Data,0.44553936901099855,0.5470615524838616,0.7010940531773978
International Panel Data,0.49829707899050724,0.47908161341916505,0.678938540010618
Theoretical and Structural Models,0.446323123344537,0.48643205034902887,0.6565324919533182
Multigenerational Measures,0.4523256572728532,0.478246616202605,0.6521094066845007
University/Institution Data,0.5012639100070924,0.4210624290600423,0.6443321573474973
Archival/Historical Data,0.41463450677387476,0.47489731197942975,0.6228959963215925
Others_DataType,0.4828152230513778,0.40505261512409396,0.6138084246991665
Opportunity Atlas,0.3271110771944049,0.4747371102971363,0.5601010776060381
Decomposition / Structural Approaches,0.3504363941781928,0.4217426355588572,0.530371888935702
Administrative/Registry Data,0.38902492828606444,0.3427755409989407,0.50850220172203
No dataset,0.3412687050883807,0.39438087186265347,0.5042722911677897
"Demographic Differences in Mobility (Race, Gender, etc.)",0.3837563769882481,0.35263593246709085,0.495798265393567
Absolute Mobility Measures,0.293867536512736,0.3657184907573492,0.44589200446222743
Measurement and Methodological Advances,0.2347287796268977,0.3886270159681037,0.44512485777578104
"Policy, Institutional, and Geographic Impacts",0.347492726397886,0.3045543537890984,0.43902883715288127
Linked Administrative Data,0.3127559114879439,0.2838983079668241,0.4095924472729064
Transition Matrix / Probability Measures,0.3061867626521172,0.24706501348446058,0.37655350599648435
Intergenerational Wealth Mobility and Inheritance,0.2510241182962301,0.2622790981982618,0.3544120430350684
National Survey Data,0.2617726269921293,0.26358228559050295,0.34652942726238783
Others_Measure,0.2594164079889021,0.25195814256061166,0.33811888845947174
Empirical Estimates and Determinants,0.2690672682821418,0.2005491843381548,0.32012813862967493
Non‐parametric Approaches,0.2929712904925817,0.2048235405596813,0.314474947585342
Panel/Longitudinal Surveys,0.21523725418356213,0.1869991865781267,0.25411811237369897
Regression‐based Measures,0.18890451829141486,0.199063544804201,0.24805311162774105
Rank‐based Measures,0.16520740405471745,0.17572824423681915,0.21655890080728868
