node,seed,position,x,y
Regression‐based Measures,27,[-0.07802953  0.1456466 ],-0.07802952839959583,0.14564660384512598
Empirical Estimates and Determinants,27,[0.10413746 0.10760489],0.10413746344939546,0.10760488680209229
Linked Administrative Data,27,[-0.3434093   0.15494298],-0.3434093044653749,0.1549429750738759
Rank‐based Measures,27,[ 0.14637444 -0.24642067],0.14637444124706553,-0.24642066973643992
Transition Matrix / Probability Measures,27,[-0.29846843 -0.29054979],-0.2984684315256924,-0.29054979234236805
No dataset,27,[ 0.36450987 -0.42979561],0.3645098728541337,-0.4297956064950327
Theoretical and Structural Models,27,[-0.20119331 -0.41239662],-0.20119331322694045,-0.4123966157152771
Decomposition / Structural Approaches,27,[-0.00882179  0.41696259],-0.008821791991378636,0.4169625904976363
Administrative/Registry Data,27,[0.29452979 0.22700158],0.294529793757818,0.22700157883054822
International Panel Data,27,[-0.51509462 -0.38658553],-0.5150946169657609,-0.3865855281543082
Panel/Longitudinal Surveys,27,[-0.37709674 -0.07099309],-0.37709673599902976,-0.07099309224096252
Intergenerational Wealth Mobility and Inheritance,27,[-0.07939661 -0.11144857],-0.07939660800480858,-0.1114485663086137
National Survey Data,27,[ 0.32013148 -0.1470188 ],0.3201314786168619,-0.14701879754606553
Measurement and Methodological Advances,27,[0.15383781 0.3477629 ],0.1538378137031937,0.34776289727625165
"Policy, Institutional, and Geographic Impacts",27,[-0.51861676 -0.14625554],-0.518616760537974,-0.14625554265515756
"Demographic Differences in Mobility (Race, Gender, etc.)",27,[-0.15355634 -0.62936269],-0.1535563418698235,-0.6293626882597622
Absolute Mobility Measures,27,[0.35924387 0.05090333],0.35924387051238943,0.05090333192709479
Others_Measure,27,[-0.0361777  -0.27295903],-0.03617770055856561,-0.27295902575432746
Others_DataType,27,[ 0.0632018 -0.5427191],0.06320179542198441,-0.5427190953441006
Archival/Historical Data,27,[ 0.23327675 -0.53947385],0.233276751829724,-0.5394738517158575
Non‐parametric Approaches,27,[-0.21447092 -0.02396343],-0.21447091931054013,-0.023963430562359958
