year,category_1,measure_clusters,measure_1
2017,Absolute Mobility Measures,4,Absolute Mobility Measure
1998,Regression‐based Measures,2,Intergenerational Elasticity
1980,Regression‐based Measures,2,Intergenerational Elasticity
2009,Transition Matrix / Probability Measures,5,Transition Matrix
2020,Regression‐based Measures,7,Rank‐Rank Slope
2014,Regression‐based Measures,1,Regression‐based Measure
2020,Absolute Mobility Measures,4,Absolute Mobility Measure
2016,Transition Matrix / Probability Measures,5,Transition Matrix
1995,Decomposition / Structural Approaches,0,Structural Decomposition
2024,Absolute Mobility Measures,4,Absolute Mobility Measure
2012,Others,0,OLG Model
2011,Others,4,OLG Model
2021,Absolute Mobility Measures,4,Absolute Mobility Measure
2016,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,1,Intergenerational Elasticity
2006,Regression‐based Measures,5,Intergenerational Elasticity
2018,Regression‐based Measures,3,Regression Estimate
2021,Absolute Mobility Measures,4,Absolute Mobility Measure
2006,Regression‐based Measures,2,Intergenerational Elasticity
2022,Absolute Mobility Measures,4,Economic Connectedness
2017,Others,6,Quantile Growth Rates
2005,Transition Matrix / Probability Measures,5,Transition Matrices
2016,Regression‐based Measures,1,Regression‐based Measure
2021,Absolute Mobility Measures,1,Absolute Mobility Measure
2002,Others,2,Extended Atkinson Index
2006,Regression‐based Measures,6,Regression‐based Measure
2016,Others,1,Subjective Mobility Measure
2005,Regression‐based Measures,2,Intergenerational Elasticity
2016,Absolute Mobility Measures,6,Class‐Origin Pay Gap
2021,Regression‐based Measures,6,Regression‐based Measure
2013,Others,4,Descriptive Mobility
2015,Regression‐based Measures,6,Regression‐based Measure
2002,Absolute Mobility Measures,4,Absolute Mobility
2018,Regression‐based Measures,1,Intergenerational Elasticity
2018,Regression‐based Measures,6,Regression‐based Measure
2020,Absolute Mobility Measures,4,Absolute Mobility Measure
2018,Regression‐based Measures,1,Intergenerational Elasticity
2014,Regression‐based Measures,3,Regression‐based Measure
2011,Transition Matrix / Probability Measures,5,Transition Matrix
2017,Absolute Mobility Measures,6,Absolute Mobility Measure
2019,Transition Matrix / Probability Measures,5,Transition Matrix
2011,Others,1,Causal Impact Estimate
2005,Others,4,Median Voter Model
2011,Others,4,Qualitative
2021,Regression‐based Measures,2,Intergenerational Elasticity
1984,Absolute Mobility Measures,4,Absolute Mobility Measure
1979,Absolute Mobility Measures,4,Absolute Mobility
2018,Regression‐based Measures,6,Incidence Rate Ratio
2008,Regression‐based Measures,2,Intergenerational Elasticity
2009,Regression‐based Measures,6,Regression‐based Measure
2006,Regression‐based Measures,6,Regression‐based Measure
2018,Rank‐based Measures,7,Social Gradient Measure
2022,Regression‐based Measures,2,Intergenerational Elasticity
2016,Others,3,Latent Class Analysis
2020,Others,4,Absolute Mobility Indicator
2021,Regression‐based Measures,1,Intergenerational Elasticity
2009,Regression‐based Measures,2,Intergenerational Elasticity
2025,Regression‐based Measures,1,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2021,Decomposition / Structural Approaches,0,Structural Model
2000,Transition Matrix / Probability Measures,5,Transition Matrix
2020,Regression‐based Measures,2,Intergenerational Elasticity
2001,Multigenerational Measures,3,Multigenerational Measure
2022,Regression‐based Measures,6,Wage Gap Estimate
2022,Absolute Mobility Measures,4,Absolute Mobility Measure
2021,Regression‐based Measures,6,Odds Ratio (Regression)
2018,Others,4,Electoral District‐Level Mobility
2022,Regression‐based Measures,3,Relative Risk (Regression)
2015,Others,4,Pseudo‐panel Mobility
2020,Absolute Mobility Measures,4,Subjective Absolute Mobility
2018,Regression‐based Measures,6,Regression‐based Measure
2020,Regression‐based Measures,6,Gr
2022,Others,4,Transition Matrix
2016,Regression‐based Measures,3,Threshold Regression
1989,Regression‐based Measures,1,Regression‐based Measure
2020,Others,4,Descriptive Indicator
2024,Regression‐based Measures,6,Class‐origin Pay Penalty (Regression)
2022,Regression‐based Measures,6,Regression‐based Coefficient
2014,Absolute Mobility Measures,4,Absolute Mobility Measure
2008,Regression‐based Measures,2,Intergenerational Elasticity
2022,Decomposition / Structural Approaches,6,Inequality Decomposition
2000,Transition Matrix / Probability Measures,1,Transition Matrix
2016,Regression‐based Measures,6,Class‐origin Earnings Differential
1977,Decomposition / Structural Approaches,6,Path Model
2022,Decomposition / Structural Approaches,0,Structural Model
2023,Others,7,Composite Opportunity Index
2014,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,4,Andersens Education Mobility Measure
2016,Regression‐based Measures,1,Regression‐based Measure
2009,Transition Matrix / Probability Measures,5,Transition Matrix
2023,Regression‐based Measures,1,Regression‐based Measure
1999,Decomposition / Structural Approaches,0,Structural Parameter
1976,Absolute Mobility Measures,4,Absolute Mobility
2022,Absolute Mobility Measures,4,Occupational Mobility (HISCAM Difference)
2006,Transition Matrix / Probability Measures,5,Transition Matrix
2007,Regression‐based Measures,1,Intergenerational Elasticity
