from_type,from_val,to_type,to_val,weight
Type,empirical,Measure,Regression‐based Measures,1585
Measure,Regression‐based Measures,Type,empirical,1430
Type,empirical,RqType,Empirical Estimates and Determinants,1234
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,913
RqType,Empirical Estimates and Determinants,Type,empirical,874
RqType,Intergenerational Wealth Mobility and Inheritance,Type,empirical,713
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,702
DataType,Panel/Longitudinal Surveys,Type,empirical,678
Type,empirical,RqType,Intergenerational Wealth Mobility and Inheritance,627
Type,empirical,DataType,Linked Administrative Data,606
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,596
Type,empirical,DataType,Panel/Longitudinal Surveys,590
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,563
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,458
Type,empirical,DataType,No dataset,447
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,438
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,429
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,409
Type,empirical,Measure,Rank‐based Measures,390
Measure,Regression‐based Measures,DataType,Linked Administrative Data,389
Measure,Rank‐based Measures,Type,empirical,378
Type,empirical,Measure,Transition Matrix / Probability Measures,371
DataType,Linked Administrative Data,Type,empirical,369
Measure,Regression‐based Measures,DataType,No dataset,367
DataType,Administrative/Registry Data,Type,empirical,343
Type,empirical,DataType,Administrative/Registry Data,312
Type,empirical,Year,2014,304
RqType,Measurement and Methodological Advances,Type,empirical,302
DataType,No dataset,Type,empirical,288
DataType,Linked Administrative Data,Measure,Regression‐based Measures,277
Year,2024,Type,empirical,267
Measure,Rank‐based Measures,Measure,Regression‐based Measures,267
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,263
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,261
DataType,National Survey Data,Type,empirical,260
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,259
Type,empirical,Type,theoretical,241
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,240
Type,empirical,Measure,Decomposition / Structural Approaches,239
Measure,Regression‐based Measures,Measure,Rank‐based Measures,235
Year,2022,Type,empirical,235
DataType,National Survey Data,Measure,Regression‐based Measures,235
DataType,No dataset,Measure,Regression‐based Measures,235
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,231
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,231
