from_type,from_val,to_type,to_val,from_paper,to_paper,weight
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W4393244952,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W3208235548,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W3208235548,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4289222991,https://openalex.org/W2564827629,1
DataType,Big Data,Measure,Absolute Mobility Measures,https://openalex.org/W4289222991,https://openalex.org/W2564827629,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,https://openalex.org/W3045264130,https://openalex.org/W2564827629,1
DataType,Opportunity Atlas,Measure,Absolute Mobility Measures,https://openalex.org/W3045264130,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4280580662,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W4280580662,https://openalex.org/W2564827629,1
RqType,Theoretical and Structural Models,Measure,Absolute Mobility Measures,https://openalex.org/W4280580662,https://openalex.org/W2564827629,1
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,https://openalex.org/W3018625260,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W3018625260,https://openalex.org/W2564827629,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Absolute Mobility Measures,https://openalex.org/W3018625260,https://openalex.org/W2564827629,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W3088079582,https://openalex.org/W2564827629,1
RqType,Perceptions of Mobility and Attitudes,Measure,Absolute Mobility Measures,https://openalex.org/W3088079582,https://openalex.org/W2564827629,1
Measure,Others,Measure,Absolute Mobility Measures,https://openalex.org/W4213429281,https://openalex.org/W2564827629,1
DataType,National Survey Data,Measure,Absolute Mobility Measures,https://openalex.org/W4213429281,https://openalex.org/W2564827629,1
Measure,Decomposition / Structural Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W4213429281,https://openalex.org/W2564827629,1
RqType,Perceptions of Mobility and Attitudes,Measure,Absolute Mobility Measures,https://openalex.org/W4213429281,https://openalex.org/W2564827629,1
DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,https://openalex.org/W4295122648,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W4295122648,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W4295122648,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2598656573,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W2598656573,https://openalex.org/W2564827629,1
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,https://openalex.org/W2598656573,https://openalex.org/W2564827629,1
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2598656573,https://openalex.org/W2564827629,1
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,https://openalex.org/W2773358030,https://openalex.org/W2564827629,1
DataType,Others,Measure,Absolute Mobility Measures,https://openalex.org/W2773358030,https://openalex.org/W2564827629,1
Measure,Non‐parametric Approaches,Measure,Absolute Mobility Measures,https://openalex.org/W2773358030,https://openalex.org/W2564827629,1
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,https://openalex.org/W2811219136,https://openalex.org/W2564827629,1
RqType,Empirical Estimates and Determinants,Measure,Absolute Mobility Measures,https://openalex.org/W2811219136,https://openalex.org/W2564827629,1
DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,https://openalex.org/W2811219136,https://openalex.org/W2564827629,1
DataType,No dataset,Measure,Absolute Mobility Measures,https://openalex.org/W2896751489,https://openalex.org/W2564827629,1
