from_type,from_val,to_type,to_val,source,weight
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,163
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,138
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,138
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,138
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,130
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,127
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,118
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,111
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,103
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,98
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,97
RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,citation,97
Measure,Regression‐based Measures,DataType,No dataset,citation,92
Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,citation,92
Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,citation,92
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,90
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,90
Measure,Regression‐based Measures,DataType,International Panel Data,citation,89
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,80
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,80
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,citation,78
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,76
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,75
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,74
Measure,Regression‐based Measures,DataType,No dataset,citation,73
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,73
Measure,Regression‐based Measures,Measure,Regression‐based Measures,citation,73
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,73
RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,citation,72
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,67
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Rank‐based Measures,citation,67
Measure,Regression‐based Measures,DataType,National Survey Data,citation,66
Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,citation,66
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,66
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,65
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,65
