to_year,from_type,from_val,to_type,to_val,source,weight
1979,Measure,Regression‐based Measures,DataType,No dataset,citation,92
1979,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,citation,92
1979,Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,citation,92
1979,RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,54
1979,RqType,Empirical Estimates and Determinants,RqType,Theoretical and Structural Models,citation,54
1979,RqType,Empirical Estimates and Determinants,Measure,Decomposition / Structural Approaches,citation,54
1979,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,53
1979,RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Theoretical and Structural Models,citation,53
1979,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,citation,53
1979,DataType,Panel/Longitudinal Surveys,DataType,No dataset,citation,35
1979,DataType,Panel/Longitudinal Surveys,RqType,Theoretical and Structural Models,citation,35
1979,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,citation,35
1979,DataType,No dataset,DataType,No dataset,citation,31
1979,DataType,No dataset,RqType,Theoretical and Structural Models,citation,31
1979,DataType,No dataset,Measure,Decomposition / Structural Approaches,citation,31
1979,DataType,Linked Administrative Data,DataType,No dataset,citation,27
1979,DataType,Linked Administrative Data,RqType,Theoretical and Structural Models,citation,27
1979,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,citation,27
1979,DataType,Administrative/Registry Data,DataType,No dataset,citation,24
1979,DataType,Administrative/Registry Data,RqType,Theoretical and Structural Models,citation,24
1979,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,citation,24
1979,Measure,Decomposition / Structural Approaches,DataType,No dataset,citation,22
1979,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,citation,22
1979,Measure,Decomposition / Structural Approaches,Measure,Decomposition / Structural Approaches,citation,22
1979,Measure,Rank‐based Measures,DataType,No dataset,citation,21
1979,Measure,Rank‐based Measures,RqType,Theoretical and Structural Models,citation,21
1979,Measure,Rank‐based Measures,Measure,Decomposition / Structural Approaches,citation,21
1979,DataType,National Survey Data,DataType,No dataset,citation,16
1979,DataType,National Survey Data,RqType,Theoretical and Structural Models,citation,16
1979,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,citation,16
1979,RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,citation,14
1979,RqType,"Policy, Institutional, and Geographic Impacts",RqType,Theoretical and Structural Models,citation,14
1979,RqType,"Policy, Institutional, and Geographic Impacts",Measure,Decomposition / Structural Approaches,citation,14
1979,Measure,Transition Matrix / Probability Measures,DataType,No dataset,citation,14
1979,Measure,Transition Matrix / Probability Measures,RqType,Theoretical and Structural Models,citation,14
1979,Measure,Transition Matrix / Probability Measures,Measure,Decomposition / Structural Approaches,citation,14
1979,RqType,Theoretical and Structural Models,DataType,No dataset,citation,13
1979,RqType,Theoretical and Structural Models,RqType,Theoretical and Structural Models,citation,13
1979,RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,citation,13
1979,Measure,Absolute Mobility Measures,DataType,No dataset,citation,10
1979,Measure,Absolute Mobility Measures,RqType,Theoretical and Structural Models,citation,10
1979,Measure,Absolute Mobility Measures,Measure,Decomposition / Structural Approaches,citation,10
1979,Measure,Others_Measure,DataType,No dataset,citation,8
1979,Measure,Others_Measure,RqType,Theoretical and Structural Models,citation,8
1979,Measure,Others_Measure,Measure,Decomposition / Structural Approaches,citation,8
1979,RqType,Measurement and Methodological Advances,DataType,No dataset,citation,7
1979,RqType,Measurement and Methodological Advances,RqType,Theoretical and Structural Models,citation,7
