from_reval,to_reval,weight
Regression‐based Measures,Empirical Estimates and Determinants,913
Empirical Estimates and Determinants,Regression‐based Measures,702
Panel/Longitudinal Surveys,Regression‐based Measures,612
Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,596
Regression‐based Measures,Panel/Longitudinal Surveys,530
Panel/Longitudinal Surveys,Empirical Estimates and Determinants,482
Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,458
Intergenerational Wealth Mobility and Inheritance,Empirical Estimates and Determinants,409
Regression‐based Measures,Linked Administrative Data,390
Regression‐based Measures,No dataset,367
Empirical Estimates and Determinants,Panel/Longitudinal Surveys,327
Administrative/Registry Data,Regression‐based Measures,305
Linked Administrative Data,Regression‐based Measures,287
Rank‐based Measures,Regression‐based Measures,267
Empirical Estimates and Determinants,Linked Administrative Data,261
Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,256
Regression‐based Measures,Administrative/Registry Data,248
Regression‐based Measures,Transition Matrix / Probability Measures,240
Linked Administrative Data,Empirical Estimates and Determinants,239
National Survey Data,Regression‐based Measures,237
No dataset,Regression‐based Measures,235
Regression‐based Measures,Rank‐based Measures,235
Empirical Estimates and Determinants,Intergenerational Wealth Mobility and Inheritance,231
Administrative/Registry Data,Empirical Estimates and Determinants,231
Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,219
Measurement and Methodological Advances,Regression‐based Measures,217
Rank‐based Measures,Empirical Estimates and Determinants,213
Empirical Estimates and Determinants,No dataset,208
Intergenerational Wealth Mobility and Inheritance,Linked Administrative Data,205
Measurement and Methodological Advances,Empirical Estimates and Determinants,187
Regression‐based Measures,Decomposition / Structural Approaches,182
Panel/Longitudinal Surveys,Linked Administrative Data,175
No dataset,Empirical Estimates and Determinants,174
Empirical Estimates and Determinants,Rank‐based Measures,172
Panel/Longitudinal Surveys,No dataset,169
Empirical Estimates and Determinants,Transition Matrix / Probability Measures,169
Intergenerational Wealth Mobility and Inheritance,No dataset,165
National Survey Data,Empirical Estimates and Determinants,165
