from_type,from_val,to_type,to_val,weight
Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,118
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,69
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,59
Measure,Regression‐based Measures,DataType,National Survey Data,53
Measure,Regression‐based Measures,DataType,Linked Administrative Data,52
Measure,Regression‐based Measures,DataType,No dataset,49
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,41
DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,40
Measure,Decomposition / Structural Approaches,DataType,No dataset,38
DataType,No dataset,RqType,Theoretical and Structural Models,35
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,33
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,32
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,31
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,31
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,31
DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,29
DataType,No dataset,RqType,Empirical Estimates and Determinants,26
DataType,No dataset,RqType,Measurement and Methodological Advances,23
Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,22
Measure,Rank‐based Measures,DataType,Administrative/Registry Data,22
Measure,Rank‐based Measures,DataType,Linked Administrative Data,17
DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,17
Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,17
DataType,Panel/Longitudinal Surveys,RqType,Measurement and Methodological Advances,17
Measure,Others_Measure,DataType,No dataset,16
Measure,Transition Matrix / Probability Measures,DataType,No dataset,14
Measure,Regression‐based Measures,DataType,Archival/Historical Data,14
Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,13
Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,13
Measure,Regression‐based Measures,DataType,International Panel Data,13
Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,12
Measure,Decomposition / Structural Approaches,DataType,Linked Administrative Data,11
Measure,Decomposition / Structural Approaches,DataType,National Survey Data,11
