node1,node2,weight
Panel/Longitudinal Surveys,Regression‐based Measures,118
Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,69
Empirical Estimates and Determinants,Panel/Longitudinal Surveys,59
National Survey Data,Regression‐based Measures,53
Linked Administrative Data,Regression‐based Measures,52
No dataset,Regression‐based Measures,49
Administrative/Registry Data,Regression‐based Measures,41
Intergenerational Wealth Mobility and Inheritance,Linked Administrative Data,40
Decomposition / Structural Approaches,No dataset,38
No dataset,Theoretical and Structural Models,35
Empirical Estimates and Determinants,National Survey Data,33
Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,32
Intergenerational Wealth Mobility and Inheritance,National Survey Data,31
Empirical Estimates and Determinants,Linked Administrative Data,31
Administrative/Registry Data,Empirical Estimates and Determinants,31
Intergenerational Wealth Mobility and Inheritance,No dataset,29
Empirical Estimates and Determinants,No dataset,26
Measurement and Methodological Advances,No dataset,23
Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,22
Administrative/Registry Data,Rank‐based Measures,22
Linked Administrative Data,Rank‐based Measures,17
Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,17
Panel/Longitudinal Surveys,Rank‐based Measures,17
Measurement and Methodological Advances,Panel/Longitudinal Surveys,17
No dataset,Others_Measure,16
No dataset,Transition Matrix / Probability Measures,14
Archival/Historical Data,Regression‐based Measures,14
Decomposition / Structural Approaches,Panel/Longitudinal Surveys,13
Administrative/Registry Data,Transition Matrix / Probability Measures,13
International Panel Data,Regression‐based Measures,13
Absolute Mobility Measures,Panel/Longitudinal Surveys,12
Decomposition / Structural Approaches,Linked Administrative Data,11
Decomposition / Structural Approaches,National Survey Data,11
Administrative/Registry Data,Decomposition / Structural Approaches,10
Absolute Mobility Measures,Linked Administrative Data,9
Linked Administrative Data,Transition Matrix / Probability Measures,9
National Survey Data,Transition Matrix / Probability Measures,9
Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",9
Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",9
Intergenerational Wealth Mobility and Inheritance,Others_DataType,8
Empirical Estimates and Determinants,Others_DataType,8
Administrative/Registry Data,Measurement and Methodological Advances,8
Others_DataType,Regression‐based Measures,8
Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",8
Empirical Estimates and Determinants,International Panel Data,7
