year_val,from_type,from_val,to_type,to_val,source,weight
1976,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,within,1
1976,DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,within,1
1976,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1976,DataType,Archival/Historical Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1976,Measure,Absolute Mobility Measures,DataType,Archival/Historical Data,within,1
1976,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Archival/Historical Data,within,1
1979,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,2
1979,RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,within,2
1979,RqType,Theoretical and Structural Models,DataType,No dataset,within,2
1979,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,2
1979,DataType,No dataset,RqType,Theoretical and Structural Models,within,2
1979,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,within,2
1979,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
1979,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,within,1
1979,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1979,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1979,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,within,1
1979,Measure,Regression‐based Measures,DataType,Administrative/Registry Data,within,1
1980,DataType,No dataset,Measure,Regression‐based Measures,within,1
1980,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,1
1980,Measure,Regression‐based Measures,DataType,No dataset,within,1
1980,RqType,Empirical Estimates and Determinants,DataType,No dataset,within,1
1980,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,1
1980,DataType,No dataset,RqType,Empirical Estimates and Determinants,within,1
1981,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,within,1
1981,Measure,Decomposition / Structural Approaches,DataType,Administrative/Registry Data,within,1
1981,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1981,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1981,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,within,1
1981,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,within,1
1986,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1986,DataType,Others_DataType,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1986,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,within,1
1986,DataType,Others_DataType,Measure,Absolute Mobility Measures,within,1
1986,Measure,Absolute Mobility Measures,DataType,Others_DataType,within,1
1986,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Others_DataType,within,1
1990,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,1
1990,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,within,1
1990,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
1990,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,within,1
1990,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,1
1990,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
1992,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,1
1992,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,within,1
1992,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,1
1992,DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,within,1
1992,Measure,Regression‐based Measures,DataType,Panel/Longitudinal Surveys,within,1
1992,RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,within,1
1995,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,1
1995,RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,within,1
1995,DataType,No dataset,RqType,Theoretical and Structural Models,within,1
1995,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,within,1
1995,RqType,Theoretical and Structural Models,DataType,No dataset,within,1
1995,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,1
1995,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
1995,DataType,No dataset,Measure,Transition Matrix / Probability Measures,within,1
1995,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1995,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1995,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
1995,Measure,Transition Matrix / Probability Measures,DataType,No dataset,within,1
1996,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
1996,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,1
1996,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1996,DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1996,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Decomposition / Structural Approaches,within,1
1996,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,1
1996,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,within,1
1996,Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,within,1
1996,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1996,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1996,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
1996,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,within,1
1997,DataType,No dataset,RqType,Theoretical and Structural Models,within,1
1997,Measure,Others_Measure,RqType,Theoretical and Structural Models,within,1
1997,Measure,Others_Measure,DataType,No dataset,within,1
1997,RqType,Theoretical and Structural Models,DataType,No dataset,within,1
1997,DataType,No dataset,Measure,Others_Measure,within,1
1997,RqType,Theoretical and Structural Models,Measure,Others_Measure,within,1
1998,Measure,Regression‐based Measures,DataType,No dataset,within,2
1998,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,2
1998,DataType,No dataset,Measure,Regression‐based Measures,within,2
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,2
1998,RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,within,1
1998,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,1
1998,RqType,Empirical Estimates and Determinants,DataType,No dataset,within,1
1998,RqType,Measurement and Methodological Advances,DataType,No dataset,within,1
1998,Measure,Others_Measure,DataType,No dataset,within,1
1998,DataType,No dataset,Measure,Others_Measure,within,1
1998,RqType,Measurement and Methodological Advances,Measure,Others_Measure,within,1
1998,Measure,Absolute Mobility Measures,Measure,Transition Matrix / Probability Measures,within,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
1998,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,within,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,within,1
1998,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,within,1
1998,DataType,No dataset,RqType,Empirical Estimates and Determinants,within,1
1998,DataType,No dataset,RqType,Measurement and Methodological Advances,within,1
1998,Measure,Others_Measure,RqType,Measurement and Methodological Advances,within,1
1998,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1998,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1998,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1998,DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1998,Measure,Absolute Mobility Measures,DataType,Administrative/Registry Data,within,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Administrative/Registry Data,within,1
1998,Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,within,1
1998,DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,within,1
1998,Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,within,1
1998,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,within,1
1998,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,within,1
1998,Measure,Regression‐based Measures,DataType,Linked Administrative Data,within,1
1999,DataType,Linked Administrative Data,Measure,Regression‐based Measures,within,1
1999,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,within,1
1999,DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1999,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,within,1
1999,RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,within,1
1999,Measure,Regression‐based Measures,DataType,Linked Administrative Data,within,1
2000,Measure,Decomposition / Structural Approaches,DataType,No dataset,within,2
2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,within,2
2000,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",within,1
2000,RqType,"Policy, Institutional, and Geographic Impacts",Measure,Decomposition / Structural Approaches,within,1
2000,RqType,Theoretical and Structural Models,Measure,Decomposition / Structural Approaches,within,1
2000,RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,within,1
2000,Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,within,1
2000,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,within,1
2000,DataType,No dataset,RqType,Theoretical and Structural Models,within,1
2000,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,within,1
2000,RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,within,1
2000,RqType,Theoretical and Structural Models,DataType,No dataset,within,1
